case,drift_%,base_shear_kN
face,0.1400,104.6810
face,0.1500,108.1171
face,0.1600,111.4791
face,0.1700,114.6202
face,0.1800,117.7517
face,0.1900,120.8419
face,0.2000,123.8089
face,0.2100,126.5795
face,0.2200,129.2812
face,0.2300,131.9515
face,0.2400,134.4504
face,0.2500,136.8630
face,0.2600,139.1867
face,0.2700,141.2261
face,0.2800,142.7962
face,0.2900,143.8112
face,0.3000,144.5944
face,0.3100,145.4898
face,0.3200,146.6344
face,0.3300,147.7471
face,0.3400,148.8026
face,0.3500,149.7931
face,0.3600,150.7221
face,0.3700,151.6533
face,0.3800,152.5495
face,0.3900,153.3094
face,0.4000,153.9911
face,0.4100,154.5906
face,0.4200,155.2658
face,0.4300,155.7252
face,0.4400,155.9874
face,0.4500,156.2158
face,0.4600,156.3772
face,0.4700,156.4892
face,0.4800,156.7385
face,0.4900,157.0905
face,0.5000,157.4409
face,0.5100,157.7898
face,0.5200,158.1370
face,0.5300,158.4825
face,0.5400,158.8260
face,0.5500,159.1675
face,0.5600,159.5070
face,0.5700,159.8447
face,0.5800,160.1806
face,0.5900,160.5148
face,0.6000,160.8473
face,0.6100,161.1778
face,0.6200,161.4962
face,0.6300,161.7935
face,0.6400,162.0867
face,0.6500,162.3724
face,0.6600,162.6620
face,0.6700,162.9718
face,0.6800,163.2503
face,0.6900,163.4434
face,0.7000,163.6291
face,0.7100,163.8098
face,0.7200,164.0326
face,0.7300,164.2834
face,0.7400,164.5287
face,0.7500,164.7676
face,0.7600,165.0084
face,0.7700,165.2456
face,0.7800,165.4789
face,0.7900,165.7086
face,0.8000,165.9359
face,0.8100,166.1613
face,0.8200,166.3294
face,0.8300,166.4917
face,0.8400,166.6517
face,0.8500,166.8057
face,0.8600,166.9471
face,0.8700,167.0674
face,0.8800,167.1661
face,0.8900,167.2527
face,0.9000,167.4378
face,0.9100,167.6233
face,0.9200,167.8086
face,0.9300,167.9938
face,0.9400,168.1788
face,0.9500,168.3639
face,0.9600,168.5488
face,0.9700,168.7336
face,0.9800,168.9182
face,0.9900,169.1027
face,1.0000,169.2871
face,1.0100,169.4713
face,1.0200,169.6553
face,1.0300,169.8391
face,1.0400,170.0227
face,1.0500,170.2060
face,1.0600,170.3892
face,1.0700,170.5721
face,1.0800,170.7547
face,1.0900,170.9371
face,1.1000,171.1193
face,1.1100,171.3013
face,1.1200,171.4831
face,1.1300,171.6647
face,1.1400,171.8460
face,1.1500,172.0272
face,1.1600,172.2082
face,1.1700,172.3890
face,1.1800,172.5636
face,1.1900,172.7324
face,1.2000,172.9009
face,1.2100,173.0690
face,1.2200,173.2366
face,1.2300,173.4040
face,1.2400,173.5738
face,1.2500,173.7443
face,1.2600,173.9251
face,1.2700,174.1049
face,1.2800,174.2837
face,1.2900,174.4444
face,1.3000,174.5800
face,1.3100,174.7120
face,1.3200,174.8421
face,1.3300,174.9710
face,1.3400,175.0989
face,1.3500,175.2538
face,1.3600,175.4134
face,1.3700,175.5752
face,1.3800,175.7366
face,1.3900,175.8975
face,1.4000,176.0581
face,1.4100,176.2182
face,1.4200,176.3779
face,1.4300,176.5371
face,1.4400,176.6958
face,1.4500,176.8538
face,1.4600,177.0114
face,1.4700,177.1691
face,1.4800,177.3259
face,1.4900,177.4817
face,1.5000,177.6364
face,1.5100,177.7898
face,1.5200,177.9434
face,1.5300,178.0974
face,1.5400,178.2506
face,1.5500,178.4029
face,1.5600,178.5264
face,1.5700,178.6440
face,1.5800,178.7608
face,1.5900,178.8764
face,1.6000,178.9903
face,1.6100,179.1012
face,1.6200,179.2073
face,1.6300,179.3058
face,1.6400,179.3944
face,1.6500,179.4743
face,1.6600,179.5506
face,1.6700,179.6825
face,1.6800,179.8151
face,1.6900,179.9477
face,1.7000,180.0803
face,1.7100,180.2127
face,1.7200,180.3452
face,1.7300,180.4776
face,1.7400,180.6100
face,1.7500,180.7424
face,1.7600,180.8747
face,1.7700,181.0071
face,1.7800,181.1394
face,1.7900,181.2716
face,1.8000,181.4039
face,1.8100,181.5361
face,1.8200,181.6683
face,1.8300,181.8005
face,1.8400,181.9326
face,1.8500,182.0647
face,1.8600,182.1968
face,1.8700,182.3288
face,1.8800,182.4608
face,1.8900,182.5927
face,1.9000,182.7246
face,1.9100,182.8565
face,1.9200,182.9883
face,1.9300,183.1199
face,1.9400,183.2514
face,1.9500,183.3828
face,1.9600,183.5140
face,1.9700,183.6452
face,1.9800,183.7763
face,1.9900,183.9074
face,2.0000,184.0383
face,2.0100,184.1692
face,2.0200,184.3001
face,2.0300,184.4309
face,2.0400,184.5616
face,2.0500,184.6922
face,2.0600,184.8228
face,2.0700,184.9532
face,2.0800,185.0836
face,2.0900,185.2116
face,2.1000,185.3365
face,2.1100,185.4613
face,2.1200,185.5860
face,2.1300,185.7106
face,2.1400,185.8351
face,2.1500,185.9594
face,2.1600,186.0835
face,2.1700,186.2074
face,2.1800,186.3310
face,2.1900,186.4543
face,2.2000,186.5814
face,2.2100,186.7100
face,2.2200,186.8383
face,2.2300,186.9664
face,2.2400,187.0943
face,2.2500,187.2204
face,2.2600,187.3298
face,2.2700,187.4381
face,2.2800,187.5455
face,2.2900,187.6521
face,2.3000,187.7582
face,2.3100,187.8639
face,2.3200,187.9693
face,2.3300,188.0887
face,2.3400,188.2106
face,2.3500,188.3324
face,2.3600,188.4531
face,2.3700,188.5733
face,2.3800,188.6933
face,2.3900,188.8132
face,2.4000,188.9330
face,2.4100,189.0528
face,2.4200,189.1729
face,2.4300,189.2945
face,2.4400,189.4162
face,2.4500,189.5378
face,2.4600,189.6592
face,2.4700,189.7806
face,2.4800,189.9018
face,2.4900,190.0229
face,2.5000,190.1439
